SMILES_STANDARD,fup_log10
N#Cc1cc(Cl)cc(Oc2c(Cl)ccn(Cc3[nH]nc4ncccc34)c2=O)c1,-1.48148606
Cc1cc(N2CCC[C@@H](N)C2)c2c(n1)n(C)c(=O)n2Cc1ccccc1C#N,-0.4202164
S=c1nc(-c2ccccc2Cl)[nH]n1Cc1cccc(Cl)c1,-2.0
O=C(O[C@H]1C[N+]2(Cc3cc(-c4ccccc4)no3)CCC1CC2)C1(C2=CC=CC2)CCCCCC1,-2.0
COc1ccc(S(=O)(=O)Nc2nc(-c3cccc([N+](=O)[O-])c3)cs2)cc1OC,-2.0
Cc1ccc(C(=O)NC2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,-0.19178903
CC(C)=CCC[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2,-1.07058107
COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)[C@H]3CC[C@@H](N(C)C(=O)N4CCOCC4)CC3)cc2)cc1,-0.7721133
CN=c1[nH]oc2c(-c3ccc4c(N5CCOC[C@@H]5C)nncc4c3)c(C)ccc12,-1.09691001
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1,-0.8569852
CC(C)(C)NC(=O)c1c[nH]c2ncc(-c3nn(C4CCNCC4)c4cc(F)ccc34)nc12,-2.0
O=C(Nc1ccc(Cl)cn1)[C@H]1CN(CC(F)F)C[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,-0.63827216
Cn1ccc(CCC[N+]23CCC(CC2)[C@@H](OC(=O)C2(C4=CC=CC4)CCCCCC2)C3)n1,-1.22184875
COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,-2.0
O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,-1.69897
Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3cccnc3)CC2)CC1,-0.4202164
N=C(N)NC(=O)c1cnn(-c2cccc3ncccc23)c1C1CC1,-0.46852108
Cc1ccnc(NC(=O)C[N+]23CCC(CC2)[C@@H](OC(=O)C2(C4=CC=CC4)CCCCCC2)C3)c1,-1.74472749
CCCC[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2,-0.04575749
O=C(NCc1ccc([S+]([O-])c2cc(F)cc(F)c2)cn1)c1cc2ccncc2o1,-0.85387196
O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,-1.22184875
CCc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,-0.76955108
Cn1cc(NC(=O)c2cnn3ccc(=N)[nH]c23)c(-c2cccc(Cl)c2)n1,-1.95860731
C[C@]1(N)C[C@H](C(=O)N2CCC(c3ccnn3-c3ccc(F)c(Cl)c3)CC2)[C@@H](c2ccc(F)cc2F)C1,-1.0
Cc1cccc(C)c1NC(=O)C(C)N,-0.06048075
CN(C)Cc1ccccc1C(=O)N(CCc1ccc(Cl)cc1)C1CCC2(CC1)OCCO2,-2.39794001
O=C(O)CCc1ccc(C#Cc2cc(Cl)nc(Cl)c2)cc1,-1.50863831
O=C(O[C@H]1C[N+]2(Cc3cc(-c4ccccc4)on3)CCC1CC2)C1(C2=CC=CC2)CCCCCC1,-2.30103
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,-0.45593196
Cc1cn(Cc2ccc(Cl)cc2Cl)c2c(-c3nnc(NS(=O)(=O)c4cc(Cl)c(Cl)s4)o3)cc(F)cc12,-2.69897
